,GOOG 2021-12-31,GOOG 2020-12-31,GOOG 2019-12-31,GOOG 2018-12-31
intangibleAssets,1417000000.0,1445000000.0,1979000000.0,2220000000.0
totalLiab,107633000000.0,97072000000.0,74467000000.0,55164000000.0
totalStockholderEquity,251635000000.0,222544000000.0,201442000000.0,177628000000.0
otherCurrentLiab,29208000000.0,28006000000.0,22159000000.0,17612000000.0
totalAssets,359268000000.0,319616000000.0,275909000000.0,232792000000.0
commonStock,61774000000.0,58510000000.0,50552000000.0,45049000000.0
otherCurrentAssets,7054000000.0,5490000000.0,4412000000.0,4236000000.0
retainedEarnings,191484000000.0,163401000000.0,152122000000.0,134885000000.0
otherLiab,17173000000.0,15160000000.0,14478000000.0,16532000000.0
goodWill,22956000000.0,21175000000.0,20624000000.0,17888000000.0
treasuryStock,-1623000000.0,633000000.0,-1232000000.0,-2306000000.0
otherAssets,6645000000.0,5037000000.0,3063000000.0,3430000000.0
cash,20945000000.0,26465000000.0,18498000000.0,16701000000.0
totalCurrentLiabilities,64254000000.0,56834000000.0,45221000000.0,34620000000.0
deferredLongTermAssetCharges,1284000000.0,1084000000.0,721000000.0,737000000.0
otherStockholderEquity,-1623000000.0,633000000.0,-1232000000.0,-2306000000.0
propertyPlantEquipment,110558000000.0,96960000000.0,84587000000.0,59719000000.0
totalCurrentAssets,188143000000.0,174296000000.0,152578000000.0,135676000000.0
longTermInvestments,29549000000.0,20703000000.0,13078000000.0,13859000000.0
netTangibleAssets,227262000000.0,199924000000.0,178839000000.0,157520000000.0
shortTermInvestments,118704000000.0,110229000000.0,101177000000.0,92439000000.0
netReceivables,40270000000.0,31384000000.0,27492000000.0,21193000000.0
longTermDebt,12844000000.0,12832000000.0,3958000000.0,3950000000.0
inventory,1170000000.0,728000000.0,999000000.0,1107000000.0
accountsPayable,6037000000.0,5589000000.0,5561000000.0,4378000000.0
shortLongTermDebt,,999000000.0,,
researchDevelopment,31562000000.0,27573000000.0,26018000000.0,21419000000.0
effectOfAccountingCharges,,,,
incomeBeforeTax,90734000000.0,48082000000.0,39625000000.0,34913000000.0
minorityInterest,,,,
netIncome,76033000000.0,40269000000.0,34343000000.0,30736000000.0
sellingGeneralAdministrative,36422000000.0,28998000000.0,28015000000.0,23256000000.0
grossProfit,146698000000.0,97795000000.0,89961000000.0,77270000000.0
ebit,78714000000.0,41224000000.0,35928000000.0,32595000000.0
operatingIncome,78714000000.0,41224000000.0,35928000000.0,32595000000.0
otherOperatingExpenses,,,,
interestExpense,-346000000.0,-135000000.0,-100000000.0,-114000000.0
extraordinaryItems,,,,
nonRecurring,,,,
otherItems,,,,
incomeTaxExpense,14701000000.0,7813000000.0,5282000000.0,4177000000.0
totalRevenue,257637000000.0,182527000000.0,161857000000.0,136819000000.0
totalOperatingExpenses,178923000000.0,141303000000.0,125929000000.0,104224000000.0
costOfRevenue,110939000000.0,84732000000.0,71896000000.0,59549000000.0
totalOtherIncomeExpenseNet,12020000000.0,6858000000.0,3697000000.0,2318000000.0
discontinuedOperations,,,,
netIncomeFromContinuingOps,76033000000.0,40269000000.0,34343000000.0,30736000000.0
netIncomeApplicableToCommonShares,76033000000.0,40269000000.0,34343000000.0,30736000000.0
investments,-8806000000.0,-9822000000.0,-4017000000.0,-1972000000.0
changeToLiabilities,1057000000.0,1329000000.0,465000000.0,1438000000.0
totalCashflowsFromInvestingActivities,-35523000000.0,-32773000000.0,-29491000000.0,-28504000000.0
netBorrowings,-1236000000.0,9661000000.0,-268000000.0,-61000000.0
totalCashFromFinancingActivities,-61362000000.0,-24408000000.0,-23209000000.0,-13179000000.0
changeToOperatingActivities,7140000000.0,5813000000.0,7822000000.0,7890000000.0
netIncome,76033000000.0,40269000000.0,34343000000.0,30736000000.0
changeInCash,-5520000000.0,7967000000.0,1797000000.0,5986000000.0
repurchaseOfStock,-50274000000.0,-31149000000.0,-18396000000.0,-9075000000.0
effectOfExchangeRate,-287000000.0,24000000.0,-23000000.0,-302000000.0
totalCashFromOperatingActivities,91652000000.0,65124000000.0,54520000000.0,47971000000.0
depreciation,12430000000.0,13679000000.0,11651000000.0,9029000000.0
otherCashflowsFromInvestingActivities,541000000.0,68000000.0,589000000.0,98000000.0
changeToAccountReceivables,-9095000000.0,-6524000000.0,-4340000000.0,-2169000000.0
otherCashflowsFromFinancingActivities,-9852000000.0,-2920000000.0,-4545000000.0,-4043000000.0
changeToNetincome,4712000000.0,9349000000.0,7707000000.0,3298000000.0
capitalExpenditures,-24640000000.0,-22281000000.0,-23548000000.0,-25139000000.0
